timestamp,open,high,low,close,volume
2024-01-01 18:00:00,23.805,23.849,23.768,23.809,0
2024-01-01 19:00:00,23.81,23.824,23.763,23.824,0
2024-01-01 20:00:00,23.822,23.933,23.799,23.809,0
2024-01-01 21:00:00,23.806,23.878,23.771,23.877,0
2024-01-01 22:00:00,23.878,23.95,23.862,23.934,0
2024-01-01 23:00:00,23.931,23.95,23.898,23.915,0
2024-01-02 00:00:00,23.918,24.06,23.918,24.038,0
2024-01-02 01:00:00,24.04,24.078,23.986,24.047,0
2024-01-02 02:00:00,24.045,24.082,23.988,23.989,0
2024-01-02 03:00:00,23.996,24.036,23.955,24.028,0
2024-01-02 04:00:00,24.028,24.086,24.028,24.057,0
2024-01-02 05:00:00,24.055,24.07,23.972,24.06,0
2024-01-02 06:00:00,24.063,24.068,23.902,23.931,0
2024-01-02 07:00:00,23.937,23.938,23.843,23.88,0
2024-01-02 08:00:00,23.885,24.004,23.792,23.918,0
2024-01-02 09:00:00,23.919,23.991,23.805,23.989,0
2024-01-02 10:00:00,23.99,24.014,23.693,23.722,0
2024-01-02 11:00:00,23.723,23.898,23.713,23.804,0
2024-01-02 12:00:00,23.805,23.825,23.688,23.699,0
2024-01-02 13:00:00,23.705,23.729,23.637,23.644,0
2024-01-02 14:00:00,23.648,23.674,23.635,23.64,0
2024-01-02 15:00:00,23.637,23.661,23.632,23.639,0
2024-01-02 16:00:00,23.643,23.657,23.627,23.637,0
2024-01-02 18:00:00,23.633,23.643,23.611,23.63,0
2024-01-02 19:00:00,23.628,23.698,23.624,23.681,0
2024-01-02 20:00:00,23.676,23.707,23.629,23.646,0
2024-01-02 21:00:00,23.65,23.701,23.632,23.693,0
2024-01-02 22:00:00,23.697,23.722,23.659,23.687,0
2024-01-02 23:00:00,23.685,23.696,23.665,23.675,0
2024-01-03 00:00:00,23.675,23.678,23.6,23.614,0
2024-01-03 01:00:00,23.616,23.665,23.599,23.639,0
2024-01-03 02:00:00,23.641,23.641,23.542,23.571,0
2024-01-03 03:00:00,23.573,23.577,23.417,23.484,0
2024-01-03 04:00:00,23.483,23.522,23.395,23.426,0
2024-01-03 05:00:00,23.422,23.467,23.366,23.412,0
2024-01-03 06:00:00,23.413,23.424,23.238,23.244,0
2024-01-03 07:00:00,23.248,23.338,23.211,23.3,0
2024-01-03 08:00:00,23.296,23.337,22.98,23.026,0
2024-01-03 09:00:00,23.032,23.088,22.91,22.977,0
2024-01-03 10:00:00,22.98,23.171,22.826,22.861,0
2024-01-03 11:00:00,22.859,22.992,22.856,22.934,0
2024-01-03 12:00:00,22.936,22.958,22.855,22.887,0
2024-01-03 13:00:00,22.893,22.988,22.876,22.947,0
2024-01-03 14:00:00,22.955,23.106,22.882,23.006,0
2024-01-03 15:00:00,23.005,23.062,22.996,23.011,0
2024-01-03 16:00:00,23.012,23.015,22.962,22.978,0
2024-01-03 18:00:00,22.986,23.025,22.966,23.012,0
2024-01-03 19:00:00,23.013,23.018,22.961,22.976,0
2024-01-03 20:00:00,22.979,23.009,22.917,22.936,0
2024-01-03 21:00:00,22.941,22.957,22.91,22.922,0
2024-01-03 22:00:00,22.922,23.001,22.915,22.957,0
2024-01-03 23:00:00,22.957,22.978,22.94,22.952,0
2024-01-04 00:00:00,22.946,23.018,22.937,23.008,0
2024-01-04 01:00:00,22.998,23.023,22.972,23.007,0
2024-01-04 02:00:00,23.013,23.04,22.972,22.994,0
2024-01-04 03:00:00,22.995,23.054,22.977,23.017,0
2024-01-04 04:00:00,23.02,23.068,22.987,23.007,0
2024-01-04 05:00:00,23.005,23.057,22.973,22.997,0
2024-01-04 06:00:00,22.991,23.017,22.949,22.955,0
2024-01-04 07:00:00,22.956,23.003,22.923,22.969,0
2024-01-04 08:00:00,22.972,23.039,22.896,22.901,0
2024-01-04 09:00:00,22.898,22.903,22.676,22.734,0
2024-01-04 10:00:00,22.735,22.992,22.732,22.968,0
2024-01-04 11:00:00,22.969,23.034,22.945,22.983,0
2024-01-04 12:00:00,22.982,23.006,22.943,22.987,0
2024-01-04 13:00:00,22.988,23.011,22.949,23.003,0
2024-01-04 14:00:00,23.003,23.035,22.973,23.013,0
2024-01-04 15:00:00,23.014,23.039,23.001,23.014,0
2024-01-04 16:00:00,23.015,23.027,22.979,22.992,0
2024-01-04 18:00:00,22.977,23.033,22.963,23.029,0
